"RepWeekDate","RepWeekCode","Season","RSVtest","RSVpos","HHS"
"3/14/2015",1510,1415,896,100,9
"3/14/2015",1510,1415,511,63,10
"3/21/2015",1511,1415,549,80,1
"3/21/2015",1511,1415,1078,94,2
"3/21/2015",1511,1415,576,55,3
"3/21/2015",1511,1415,1046,64,4
"3/21/2015",1511,1415,2224,211,5
"3/21/2015",1511,1415,1715,172,6
"3/21/2015",1511,1415,578,76,7
"3/21/2015",1511,1415,1194,212,8
"3/21/2015",1511,1415,918,68,9
"3/21/2015",1511,1415,483,61,10
"3/28/2015",1512,1415,534,49,1
"3/28/2015",1512,1415,1032,91,2
"3/28/2015",1512,1415,540,44,3
"3/28/2015",1512,1415,919,37,4
"3/28/2015",1512,1415,2469,220,5
"3/28/2015",1512,1415,1467,112,6
"3/28/2015",1512,1415,595,76,7
"3/28/2015",1512,1415,1068,154,8
"3/28/2015",1512,1415,802,47,9
"3/28/2015",1512,1415,526,40,10
"4/4/2015",1513,1415,530,45,1
"4/4/2015",1513,1415,1006,60,2
"4/4/2015",1513,1415,513,32,3
"4/4/2015",1513,1415,929,45,4
"4/4/2015",1513,1415,2550,201,5
"4/4/2015",1513,1415,1266,105,6
"4/4/2015",1513,1415,557,33,7
"4/4/2015",1513,1415,1083,115,8
"4/4/2015",1513,1415,743,26,9
"4/4/2015",1513,1415,501,33,10
"4/11/2015",1514,1415,550,61,1
"4/11/2015",1514,1415,830,33,2
"4/11/2015",1514,1415,502,34,3
"4/11/2015",1514,1415,822,36,4
"4/11/2015",1514,1415,2450,153,5
"4/11/2015",1514,1415,1403,67,6
"4/11/2015",1514,1415,509,35,7
"4/11/2015",1514,1415,1019,80,8
"4/11/2015",1514,1415,687,22,9
"4/11/2015",1514,1415,624,30,10
"4/18/2015",1515,1415,493,32,1
"4/18/2015",1515,1415,754,36,2
"4/18/2015",1515,1415,449,28,3
"4/18/2015",1515,1415,805,20,4
"4/18/2015",1515,1415,2116,117,5
"4/18/2015",1515,1415,1394,43,6
"4/18/2015",1515,1415,519,22,7
"4/18/2015",1515,1415,1032,45,8
"4/18/2015",1515,1415,672,10,9
"4/18/2015",1515,1415,534,25,10
"4/25/2015",1516,1415,460,27,1
"4/25/2015",1516,1415,623,16,2
"4/25/2015",1516,1415,444,24,3
"4/25/2015",1516,1415,751,24,4
"4/25/2015",1516,1415,2139,95,5
"4/25/2015",1516,1415,1235,39,6
"4/25/2015",1516,1415,546,19,7
"4/25/2015",1516,1415,977,30,8
"4/25/2015",1516,1415,663,6,9
"4/25/2015",1516,1415,462,16,10
"5/2/2015",1517,1415,423,14,1
"5/2/2015",1517,1415,590,13,2
"5/2/2015",1517,1415,392,19,3
"5/2/2015",1517,1415,874,27,4
"5/2/2015",1517,1415,1769,65,5
"5/2/2015",1517,1415,1117,35,6
"5/2/2015",1517,1415,493,13,7
"5/2/2015",1517,1415,880,33,8
"5/2/2015",1517,1415,581,3,9
"5/2/2015",1517,1415,443,6,10
"5/9/2015",1518,1415,341,11,1
"5/9/2015",1518,1415,530,13,2
"5/9/2015",1518,1415,384,12,3
"5/9/2015",1518,1415,749,27,4
"5/9/2015",1518,1415,1655,40,5
"5/9/2015",1518,1415,1056,20,6
"5/9/2015",1518,1415,480,7,7
"5/9/2015",1518,1415,876,14,8
"5/9/2015",1518,1415,594,8,9
"5/9/2015",1518,1415,405,10,10
"5/16/2015",1519,1415,319,5,1
"5/16/2015",1519,1415,472,5,2
"5/16/2015",1519,1415,346,2,3
"5/16/2015",1519,1415,754,12,4
"5/16/2015",1519,1415,1515,21,5
"5/16/2015",1519,1415,722,18,6
"5/16/2015",1519,1415,476,4,7
"5/16/2015",1519,1415,894,17,8
"5/16/2015",1519,1415,568,5,9
"5/16/2015",1519,1415,424,3,10
"5/23/2015",1520,1415,309,9,1
"5/23/2015",1520,1415,444,5,2
"5/23/2015",1520,1415,346,5,3
"5/23/2015",1520,1415,711,11,4
"5/23/2015",1520,1415,1395,15,5
"5/23/2015",1520,1415,868,21,6
"5/23/2015",1520,1415,399,7,7
"5/23/2015",1520,1415,758,6,8
"5/23/2015",1520,1415,557,7,9
"5/23/2015",1520,1415,413,4,10
"5/30/2015",1521,1415,268,5,1
"5/30/2015",1521,1415,419,3,2
"5/30/2015",1521,1415,327,3,3
"5/30/2015",1521,1415,655,9,4
"5/30/2015",1521,1415,1150,11,5
"5/30/2015",1521,1415,637,7,6
"5/30/2015",1521,1415,379,5,7
"5/30/2015",1521,1415,673,4,8
"5/30/2015",1521,1415,644,4,9
"5/30/2015",1521,1415,376,0,10
"6/6/2015",1522,1415,210,0,1
"6/6/2015",1522,1415,315,2,2
"6/6/2015",1522,1415,325,3,3
"6/6/2015",1522,1415,597,8,4
"6/6/2015",1522,1415,915,6,5
"6/6/2015",1522,1415,758,10,6
"6/6/2015",1522,1415,348,4,7
"6/6/2015",1522,1415,762,11,8
"6/6/2015",1522,1415,568,1,9
"6/6/2015",1522,1415,368,1,10
"6/13/2015",1523,1415,223,0,1
"6/13/2015",1523,1415,360,2,2
"6/13/2015",1523,1415,317,3,3
"6/13/2015",1523,1415,612,10,4
"6/13/2015",1523,1415,1035,4,5
"6/13/2015",1523,1415,684,6,6
"6/13/2015",1523,1415,329,2,7
"6/13/2015",1523,1415,596,2,8
"6/13/2015",1523,1415,592,3,9
"6/13/2015",1523,1415,310,3,10
"6/20/2015",1524,1415,206,1,1
"6/20/2015",1524,1415,323,0,2
"6/20/2015",1524,1415,301,4,3
"6/20/2015",1524,1415,549,1,4
"6/20/2015",1524,1415,959,4,5
"6/20/2015",1524,1415,647,9,6
"6/20/2015",1524,1415,317,1,7
"6/20/2015",1524,1415,605,3,8
"6/20/2015",1524,1415,499,2,9
"6/20/2015",1524,1415,332,0,10
"6/27/2015",1525,1415,171,1,1
"6/27/2015",1525,1415,289,2,2
"6/27/2015",1525,1415,262,1,3
"6/27/2015",1525,1415,567,5,4
"6/27/2015",1525,1415,810,5,5
"6/27/2015",1525,1415,652,8,6
"6/27/2015",1525,1415,313,3,7
"6/27/2015",1525,1415,560,3,8
"6/27/2015",1525,1415,484,1,9
"6/27/2015",1525,1415,272,2,10
"7/4/2015",1526,1516,170,0,1
