HHS	DVD	age	rcu	pi	flu	allcause	pop	AH1P	AH3	B	RSV
1	201102	1	3	0	0	17	1677331	0.000187530356720167	0.000875141664694111	0.000245232004941756	0.00100136402017884
1	201102	2	0	0	0	5	4853985	0.000187530356720167	0.000875141664694111	0.000245232004941756	0.00100136402017884
1	201102	3	64	8	0	163	12784682	0.000187530356720167	0.000875141664694111	0.000245232004941756	0.00100136402017884
1	201102	4	236	29	0	412	6173637	0.000187530356720167	0.000875141664694111	0.000245232004941756	0.00100136402017884
1	201102	5	1487	241	6	2094	4113451	0.000187530356720167	0.000875141664694111	0.000245232004941756	0.00100136402017884
1	201103	1	5	1	0	25	1677024	0.000335499701314634	0.000848244527852093	0.000364228993589762	0.00160313929295348
1	201103	2	3	1	0	5	4853205	0.000335499701314634	0.000848244527852093	0.000364228993589762	0.00160313929295348
1	201103	3	59	5	2	139	12784023	0.000335499701314634	0.000848244527852093	0.000364228993589762	0.00160313929295348
1	201103	4	222	24	0	364	6174457	0.000335499701314634	0.000848244527852093	0.000364228993589762	0.00160313929295348
1	201103	5	1580	255	6	2140	4116780	0.000335499701314634	0.000848244527852093	0.000364228993589762	0.00160313929295348
1	201104	1	5	1	0	22	1676717	0.000820725383945973	0.00169274610438857	0.000483359901602797	0.00165416499659624
1	201104	2	2	0	0	6	4852426	0.000820725383945973	0.00169274610438857	0.000483359901602797	0.00165416499659624
1	201104	3	47	4	1	130	12783363	0.000820725383945973	0.00169274610438857	0.000483359901602797	0.00165416499659624
1	201104	4	212	26	0	349	6175278	0.000820725383945973	0.00169274610438857	0.000483359901602797	0.00165416499659624
1	201104	5	1533	248	3	2048	4120109	0.000820725383945973	0.00169274610438857	0.000483359901602797	0.00165416499659624
1	201105	1	2	0	0	13	1676410	0.000974869221661195	0.00194973844332239	0.000108318802406799	0.00290491333727326
1	201105	2	1	0	0	3	4851646	0.000974869221661195	0.00194973844332239	0.000108318802406799	0.00290491333727326
1	201105	3	67	9	1	139	12782704	0.000974869221661195	0.00194973844332239	0.000108318802406799	0.00290491333727326
1	201105	4	217	22	0	365	6176098	0.000974869221661195	0.00194973844332239	0.000108318802406799	0.00290491333727326
1	201105	5	1564	267	12	2076	4123438	0.000974869221661195	0.00194973844332239	0.000108318802406799	0.00290491333727326
1	201106	1	4	0	0	17	1676102	0.0020620728865552	0.0022287050390041	0.000214538896277965	0.00351869229290678
1	201106	2	4	1	0	9	4850867	0.0020620728865552	0.0022287050390041	0.000214538896277965	0.00351869229290678
1	201106	3	54	9	2	145	12782044	0.0020620728865552	0.0022287050390041	0.000214538896277965	0.00351869229290678
1	201106	4	225	26	1	366	6176918	0.0020620728865552	0.0022287050390041	0.000214538896277965	0.00351869229290678
1	201106	5	1498	246	8	2066	4126767	0.0020620728865552	0.0022287050390041	0.000214538896277965	0.00351869229290678
1	201107	1	2	0	0	19	1675795	0.00197215127138861	0.00228182791730914	0.000791437988594929	0.00266124674209273
1	201107	2	1	0	0	1	4850088	0.00197215127138861	0.00228182791730914	0.000791437988594929	0.00266124674209273
1	201107	3	56	8	1	177	12781385	0.00197215127138861	0.00228182791730914	0.000791437988594929	0.00266124674209273
1	201107	4	208	24	2	365	6177739	0.00197215127138861	0.00228182791730914	0.000791437988594929	0.00266124674209273
1	201107	5	1593	246	8	2161	4130096	0.00197215127138861	0.00228182791730914	0.000791437988594929	0.00266124674209273
1	201108	1	3	1	0	14	1675488	0.00219187138611652	0.00332916314306377	0.00104170462814723	0.0043659871962095
1	201108	2	3	1	0	7	4849308	0.00219187138611652	0.00332916314306377	0.00104170462814723	0.0043659871962095
1	201108	3	63	7	2	145	12780725	0.00219187138611652	0.00332916314306377	0.00104170462814723	0.0043659871962095
1	201108	4	199	23	1	372	6178559	0.00219187138611652	0.00332916314306377	0.00104170462814723	0.0043659871962095
1	201108	5	1523	244	4	2074	4133425	0.00219187138611652	0.00332916314306377	0.00104170462814723	0.0043659871962095
1	201109	1	3	1	1	16	1675181	0.00182155773318155	0.00195817456317016	0.000314977691362642	0.00274776591280831
1	201109	2	4	1	0	7	4848529	0.00182155773318155	0.00195817456317016	0.000314977691362642	0.00274776591280831
1	201109	3	51	8	1	151	12780066	0.00182155773318155	0.00195817456317016	0.000314977691362642	0.00274776591280831
1	201109	4	215	24	1	345	6179379	0.00182155773318155	0.00195817456317016	0.000314977691362642	0.00274776591280831
1	201109	5	1483	238	12	2090	4136754	0.00182155773318155	0.00195817456317016	0.000314977691362642	0.00274776591280831
1	201110	1	5	1	0	21	1674874	0.00114294969372543	0.00186681783308487	0.000279978374587005	0.00321266324763443
1	201110	2	4	1	1	8	4847750	0.00114294969372543	0.00186681783308487	0.000279978374587005	0.00321266324763443
1	201110	3	73	17	2	179	12779406	0.00114294969372543	0.00186681783308487	0.000279978374587005	0.00321266324763443
1	201110	4	222	25	5	366	6180199	0.00114294969372543	0.00186681783308487	0.000279978374587005	0.00321266324763443
1	201110	5	1468	273	7	2039	4140083	0.00114294969372543	0.00186681783308487	0.000279978374587005	0.00321266324763443
1	201111	1	3	0	0	19	1674567	0.00120919670542448	0.00111048677028778	0.000412388173459957	0.00207912370786062
1	201111	2	3	0	0	7	4846970	0.00120919670542448	0.00111048677028778	0.000412388173459957	0.00207912370786062
1	201111	3	57	4	0	150	12778747	0.00120919670542448	0.00111048677028778	0.000412388173459957	0.00207912370786062
1	201111	4	210	31	1	364	6181020	0.00120919670542448	0.00111048677028778	0.000412388173459957	0.00207912370786062
1	201111	5	1445	222	9	1973	4143413	0.00120919670542448	0.00111048677028778	0.000412388173459957	0.00207912370786062
1	201112	1	5	2	1	21	1674260	0.000584454085884201	0.000690718465135874	0.000502340701916999	0.00245118265930135
1	201112	2	2	0	0	5	4846191	0.000584454085884201	0.000690718465135874	0.000502340701916999	0.00245118265930135
1	201112	3	57	6	0	147	12778087	0.000584454085884201	0.000690718465135874	0.000502340701916999	0.00245118265930135
1	201112	4	186	26	2	366	6181840	0.000584454085884201	0.000690718465135874	0.000502340701916999	0.00245118265930135
1	201112	5	1386	226	7	1917	4146742	0.000584454085884201	0.000690718465135874	0.000502340701916999	0.00245118265930135
1	201113	1	0	0	0	18	1673953	0.000207654200725908	0.000461453779390907	0.000617638135492444	0.00166873917932748
1	201113	2	2	0	0	3	4845412	0.000207654200725908	0.000461453779390907	0.000617638135492444	0.00166873917932748
1	201113	3	52	6	0	135	12777428	0.000207654200725908	0.000461453779390907	0.000617638135492444	0.00166873917932748
1	201113	4	187	30	0	334	6182660	0.000207654200725908	0.000461453779390907	0.000617638135492444	0.00166873917932748
1	201113	5	1457	224	8	1972	4150071	0.000207654200725908	0.000461453779390907	0.000617638135492444	0.00166873917932748
1	201114	1	4	0	0	15	1673645	9.28203632257996e-05	0.000293931150215032	0.00088400345929333	0.00165924391435757
1	201114	2	5	0	0	9	4844632	9.28203632257996e-05	0.000293931150215032	0.00088400345929333	0.00165924391435757
1	201114	3	52	3	0	146	12776768	9.28203632257996e-05	0.000293931150215032	0.00088400345929333	0.00165924391435757
1	201114	4	215	27	0	364	6183481	9.28203632257996e-05	0.000293931150215032	0.00088400345929333	0.00165924391435757
