DVD	age	rcu	pi	flu	allcause	pop	AH1P	AH3	B	RSV
201052	1	1	0	0	5	18873085	0.000647327157362341	0.002836406630378	0.00202154693035073	0.00392717710326716
201052	2	2	0	0	8	47733911	0.000647327157362341	0.002836406630378	0.00202154693035073	0.00392717710326716
201052	3	4	0	0	14	116943873	0.000647327157362341	0.002836406630378	0.00202154693035073	0.00392717710326716
201052	4	12	0	0	44	53197886	0.000647327157362341	0.002836406630378	0.00202154693035073	0.00392717710326716
201052	5	8	1	0	31	32921625	0.000647327157362341	0.002836406630378	0.00202154693035073	0.00392717710326716
201101	1	10	0	0	28	18870209	0.000748193777813353	0.00208978262078902	0.00110948302591368	0.00332157803986768
201101	2	1	0	0	5	47736939	0.000748193777813353	0.00208978262078902	0.00110948302591368	0.00332157803986768
201101	3	2	0	0	8	116955667	0.000748193777813353	0.00208978262078902	0.00110948302591368	0.00332157803986768
201101	4	6	1	0	18	53202892	0.000748193777813353	0.00208978262078902	0.00110948302591368	0.00332157803986768
201101	5	1	0	0	4	32957487	0.000748193777813353	0.00208978262078902	0.00110948302591368	0.00332157803986768
201102	1	53	4	0	142	18867333	0.00127406301069493	0.00235937594573136	0.00104698881348463	0.0040845067956103
201102	2	133	17	0	313	47739967	0.00127406301069493	0.00235937594573136	0.00104698881348463	0.0040845067956103
201102	3	159	19	0	440	116967461	0.00127406301069493	0.00235937594573136	0.00104698881348463	0.0040845067956103
201102	4	346	31	1	931	53207899	0.00127406301069493	0.00235937594573136	0.00104698881348463	0.0040845067956103
201102	5	241	25	0	668	32993350	0.00127406301069493	0.00235937594573136	0.00104698881348463	0.0040845067956103
201103	1	190	24	0	566	18864458	0.00191475891274826	0.00286838393988171	0.00157058422026656	0.00485062986033026
201103	2	62	10	0	182	47742995	0.00191475891274826	0.00286838393988171	0.00157058422026656	0.00485062986033026
201103	3	35	1	0	120	116979256	0.00191475891274826	0.00286838393988171	0.00157058422026656	0.00485062986033026
201103	4	193	25	0	512	53212906	0.00191475891274826	0.00286838393988171	0.00157058422026656	0.00485062986033026
201103	5	50	5	0	123	33029213	0.00191475891274826	0.00286838393988171	0.00157058422026656	0.00485062986033026
201104	1	193	18	0	351	18861582	0.00262708399944886	0.00317594739081445	0.001950451125872	0.005475560772129
201104	2	425	35	0	652	47746023	0.00262708399944886	0.00317594739081445	0.001950451125872	0.005475560772129
201104	3	482	40	0	837	116991050	0.00262708399944886	0.00317594739081445	0.001950451125872	0.005475560772129
201104	4	1084	91	1	1887	53217912	0.00262708399944886	0.00317594739081445	0.001950451125872	0.005475560772129
201104	5	725	62	0	1369	33065076	0.00262708399944886	0.00317594739081445	0.001950451125872	0.005475560772129
201105	1	593	73	0	1029	18858707	0.00333608625846916	0.00354250469848363	0.00255338269867518	0.00599633515165153
201105	2	197	20	0	351	47749051	0.00333608625846916	0.00354250469848363	0.00255338269867518	0.00599633515165153
201105	3	120	11	0	214	117002844	0.00333608625846916	0.00354250469848363	0.00255338269867518	0.00599633515165153
201105	4	568	55	0	939	53222919	0.00333608625846916	0.00354250469848363	0.00255338269867518	0.00599633515165153
201105	5	167	18	0	330	33100939	0.00333608625846916	0.00354250469848363	0.00255338269867518	0.00599633515165153
201106	1	1294	182	0	1821	18855831	0.00313919520530023	0.0033158957269706	0.00248085939904829	0.00691880345557558
201106	2	2482	302	0	3148	47752079	0.00313919520530023	0.0033158957269706	0.00248085939904829	0.00691880345557558
201106	3	2636	302	1	3798	117014638	0.00313919520530023	0.0033158957269706	0.00248085939904829	0.00691880345557558
201106	4	4983	559	1	7121	53227926	0.00313919520530023	0.0033158957269706	0.00248085939904829	0.00691880345557558
201106	5	4327	508	1	6258	33136802	0.00313919520530023	0.0033158957269706	0.00248085939904829	0.00691880345557558
201107	1	2611	308	0	3673	18852956	0.00341896879354325	0.00345140169909465	0.00276081590837564	0.00612039940789765
201107	2	1261	158	0	1779	47755107	0.00341896879354325	0.00345140169909465	0.00276081590837564	0.00612039940789765
201107	3	688	101	0	1022	117026432	0.00341896879354325	0.00345140169909465	0.00276081590837564	0.00612039940789765
201107	4	3220	361	1	4136	53232933	0.00341896879354325	0.00345140169909465	0.00276081590837564	0.00612039940789765
201107	5	893	103	0	1281	33172665	0.00341896879354325	0.00345140169909465	0.00276081590837564	0.00612039940789765
201108	1	3	0	0	20	18850080	0.00239996640429689	0.00245816151594327	0.00239416361586548	0.00585469069075527
201108	2	10	1	0	35	47758135	0.00239996640429689	0.00245816151594327	0.00239416361586548	0.00585469069075527
201108	3	10	2	0	62	117038226	0.00239996640429689	0.00245816151594327	0.00239416361586548	0.00585469069075527
201108	4	24	2	0	130	53237939	0.00239996640429689	0.00245816151594327	0.00239416361586548	0.00585469069075527
201108	5	20	2	0	108	33208528	0.00239996640429689	0.00245816151594327	0.00239416361586548	0.00585469069075527
201109	1	12	2	0	75	18847204	0.00157506669586886	0.00166414989046073	0.00150496004908234	0.0049880003899853
201109	2	4	1	0	19	47761163	0.00157506669586886	0.00166414989046073	0.00150496004908234	0.0049880003899853
201109	3	3	0	0	21	117050020	0.00157506669586886	0.00166414989046073	0.00150496004908234	0.0049880003899853
201109	4	13	0	0	73	53242946	0.00157506669586886	0.00166414989046073	0.00150496004908234	0.0049880003899853
201109	5	2	0	0	14	33244391	0.00157506669586886	0.00166414989046073	0.00150496004908234	0.0049880003899853
201110	1	1	0	0	8	18844329	0.000944157681361762	0.00117906047528002	0.00102252185157859	0.00375881398473119
201110	2	3	1	0	10	47764191	0.000944157681361762	0.00117906047528002	0.00102252185157859	0.00375881398473119
201110	3	3	0	0	17	117061814	0.000944157681361762	0.00117906047528002	0.00102252185157859	0.00375881398473119
201110	4	20	2	0	40	53247953	0.000944157681361762	0.00117906047528002	0.00102252185157859	0.00375881398473119
201110	5	7	0	0	24	33280254	0.000944157681361762	0.00117906047528002	0.00102252185157859	0.00375881398473119
201111	1	6	0	0	21	18841453	0.00063063857006089	0.000898133079212682	0.00080397552870164	0.00302999160300065
201111	2	4	0	0	11	47767219	0.00063063857006089	0.000898133079212682	0.00080397552870164	0.00302999160300065
201111	3	2	1	0	11	117073608	0.00063063857006089	0.000898133079212682	0.00080397552870164	0.00302999160300065
201111	4	10	3	0	20	53252959	0.00063063857006089	0.000898133079212682	0.00080397552870164	0.00302999160300065
201111	5	2	1	0	10	33316116	0.00063063857006089	0.000898133079212682	0.00080397552870164	0.00302999160300065
201112	1	50	5	0	160	18838578	0.000373010520481524	0.000661009340946328	0.000519882208106781	0.00217102146723755
201112	2	126	11	0	295	47770247	0.000373010520481524	0.000661009340946328	0.000519882208106781	0.00217102146723755
201112	3	125	8	0	373	117085403	0.000373010520481524	0.000661009340946328	0.000519882208106781	0.00217102146723755
201112	4	408	31	0	967	53257966	0.000373010520481524	0.000661009340946328	0.000519882208106781	0.00217102146723755
201112	5	273	34	1	693	33351979	0.000373010520481524	0.000661009340946328	0.000519882208106781	0.00217102146723755
201113	1	231	28	0	576	18835702	0.00023813669781206	0.000401657230309674	0.000456995662944096	0.00171978202484616
201113	2	66	5	0	169	47773276	0.00023813669781206	0.000401657230309674	0.000456995662944096	0.00171978202484616
201113	3	36	2	0	130	117097197	0.00023813669781206	0.000401657230309674	0.000456995662944096	0.00171978202484616
201113	4	218	21	0	527	53262973	0.00023813669781206	0.000401657230309674	0.000456995662944096	0.00171978202484616
201113	5	56	5	0	151	33387842	0.00023813669781206	0.000401657230309674	0.000456995662944096	0.00171978202484616
201114	1	202	16	0	361	18832827	8.82680478657581e-05	0.000247399176412477	0.000314688022760845	0.00134467125982505
201114	2	452	40	0	667	47776304	8.82680478657581e-05	0.000247399176412477	0.000314688022760845	0.00134467125982505
201114	3	452	47	0	835	117108991	8.82680478657581e-05	0.000247399176412477	0.000314688022760845	0.00134467125982505
201114	4	1030	84	0	1834	53267980	8.82680478657581e-05	0.000247399176412477	0.000314688022760845	0.00134467125982505
201114	5	764	79	0	1396	33423705	8.82680478657581e-05	0.000247399176412477	0.000314688022760845	0.00134467125982505
201115	1	582	50	0	1030	18829951	4.44376171406859e-05	0.000177750468562744	0.00017890469238458	0.000765675317007498
201115	2	223	23	0	363	47779332	4.44376171406859e-05	0.000177750468562744	0.00017890469238458	0.000765675317007498
201115	3	129	11	0	225	117120785	4.44376171406859e-05	0.000177750468562744	0.00017890469238458	0.000765675317007498
201115	4	622	57	0	997	53272986	4.44376171406859e-05	0.000177750468562744	0.00017890469238458	0.000765675317007498
201115	5	186	20	0	348	33459568	4.44376171406859e-05	0.000177750468562744	0.00017890469238458	0.000765675317007498
201116	1	1328	169	0	1832	18827076	3.37335560510884e-05	8.83497896576125e-05	0.000131981995360758	0.000769973239414403
201116	2	2549	299	0	3188	47782360	3.37335560510884e-05	8.83497896576125e-05	0.000131981995360758	0.000769973239414403
201116	3	2694	298	0	3813	117132579	3.37335560510884e-05	8.83497896576125e-05	0.000131981995360758	0.000769973239414403
201116	4	5101	561	0	7349	53277993	3.37335560510884e-05	8.83497896576125e-05	0.000131981995360758	0.000769973239414403
201116	5	4356	516	0	6326	33495431	3.37335560510884e-05	8.83497896576125e-05	0.000131981995360758	0.000769973239414403
201117	1	2547	277	1	3698	18824200	3.14175995712449e-05	9.42527987137348e-05	0.000108687912030253	0.000551825973116561
201117	2	1301	143	0	1861	47785388	3.14175995712449e-05	9.42527987137348e-05	0.000108687912030253	0.000551825973116561
201117	3	634	78	0	955	117144373	3.14175995712449e-05	9.42527987137348e-05	0.000108687912030253	0.000551825973116561
201117	4	3049	384	1	4010	53283000	3.14175995712449e-05	9.42527987137348e-05	0.000108687912030253	0.000551825973116561
201117	5	936	120	0	1353	33531294	3.14175995712449e-05	9.42527987137348e-05	0.000108687912030253	0.000551825973116561
201118	1	0	0	0	19	18821324	9.75155881019726e-06	2.24285852634537e-05	5.72091450198239e-05	0.000376361812784717
201118	2	4	0	0	35	47788416	9.75155881019726e-06	2.24285852634537e-05	5.72091450198239e-05	0.000376361812784717
201118	3	9	0	0	70	117156167	9.75155881019726e-06	2.24285852634537e-05	5.72091450198239e-05	0.000376361812784717
201118	4	24	2	0	120	53288006	9.75155881019726e-06	2.24285852634537e-05	5.72091450198239e-05	0.000376361812784717
201118	5	6	1	0	70	33567157	9.75155881019726e-06	2.24285852634537e-05	5.72091450198239e-05	0.000376361812784717
201119	1	11	1	0	65	18818449	8.5852980130316e-06	3.43411920521264e-05	4.2926490065158e-05	0.000262831899443553
201119	2	1	1	0	17	47791444	8.5852980130316e-06	3.43411920521264e-05	4.2926490065158e-05	0.000262831899443553
201119	3	3	0	0	15	117167961	8.5852980130316e-06	3.43411920521264e-05	4.2926490065158e-05	0.000262831899443553
201119	4	18	3	0	73	53293013	8.5852980130316e-06	3.43411920521264e-05	4.2926490065158e-05	0.000262831899443553
201119	5	5	1	0	22	33603020	8.5852980130316e-06	3.43411920521264e-05	4.2926490065158e-05	0.000262831899443553
201120	1	1	0	0	9	18815573	0	2.28534757017375e-05	3.80891261695626e-05	0.000246763951487237
201120	2	5	1	0	11	47794472	0	2.28534757017375e-05	3.80891261695626e-05	0.000246763951487237
201120	3	2	0	0	17	117179755	0	2.28534757017375e-05	3.80891261695626e-05	0.000246763951487237
201120	4	13	2	0	45	53298020	0	2.28534757017375e-05	3.80891261695626e-05	0.000246763951487237
201120	5	6	0	0	23	33638883	0	2.28534757017375e-05	3.80891261695626e-05	0.000246763951487237
201121	1	9	1	0	32	18812698	1.19301285848592e-05	1.78951928772888e-05	8.52152041775659e-06	0.000149912688713126
201121	2	1	0	0	10	47797500	1.19301285848592e-05	1.78951928772888e-05	8.52152041775659e-06	0.000149912688713126
201121	3	3	0	0	10	117191549	1.19301285848592e-05	1.78951928772888e-05	8.52152041775659e-06	0.000149912688713126
201121	4	13	0	0	28	53303026	1.19301285848592e-05	1.78951928772888e-05	8.52152041775659e-06	0.000149912688713126
201121	5	3	0	0	4	33674745	1.19301285848592e-05	1.78951928772888e-05	8.52152041775659e-06	0.000149912688713126
201122	1	70	6	0	178	18809822	2.98867866806625e-05	0	2.49056555672187e-05	0.000143383234259375
201122	2	162	11	0	352	47800528	2.98867866806625e-05	0	2.49056555672187e-05	0.000143383234259375
201122	3	114	12	0	358	117203344	2.98867866806625e-05	0	2.49056555672187e-05	0.000143383234259375
201122	4	336	33	0	932	53308033	2.98867866806625e-05	0	2.49056555672187e-05	0.000143383234259375
201122	5	227	30	0	623	33710608	2.98867866806625e-05	0	2.49056555672187e-05	0.000143383234259375
201123	1	184	19	0	541	18806947	0	0	9.32147416638634e-06	0.000131135947618591
201123	2	74	6	0	183	47803556	0	0	9.32147416638634e-06	0.000131135947618591
201123	3	36	5	0	115	117215138	0	0	9.32147416638634e-06	0.000131135947618591
201123	4	198	13	0	493	53313040	0	0	9.32147416638634e-06	0.000131135947618591
201123	5	57	10	1	139	33746471	0	0	9.32147416638634e-06	0.000131135947618591
201124	1	194	14	0	346	18804071	2.77281051262113e-05	0	0	6.47400690298374e-05
201124	2	394	30	0	623	47806584	2.77281051262113e-05	0	0	6.47400690298374e-05
201124	3	446	52	0	779	117226932	2.77281051262113e-05	0	0	6.47400690298374e-05
201124	4	1081	122	0	1838	53318047	2.77281051262113e-05	0	0	6.47400690298374e-05
201124	5	705	89	0	1337	33782334	2.77281051262113e-05	0	0	6.47400690298374e-05
201125	1	601	61	0	1038	18801196	0	0	1.3772490836711e-05	7.78445134248884e-05
201125	2	222	21	0	379	47809612	0	0	1.3772490836711e-05	7.78445134248884e-05
201125	3	113	11	0	235	117238726	0	0	1.3772490836711e-05	7.78445134248884e-05
201125	4	647	62	0	1041	53323053	0	0	1.3772490836711e-05	7.78445134248884e-05
201125	5	174	10	0	321	33818197	0	0	1.3772490836711e-05	7.78445134248884e-05
201126	1	1309	160	0	1875	18798320	5.83725571638384e-06	0	5.83725571638384e-06	3.96692294752821e-05
201126	2	2526	302	0	3205	47812640	5.83725571638384e-06	0	5.83725571638384e-06	3.96692294752821e-05
201126	3	2634	295	0	3765	117250520	5.83725571638384e-06	0	5.83725571638384e-06	3.96692294752821e-05
201126	4	4856	539	0	7002	53328060	5.83725571638384e-06	0	5.83725571638384e-06	3.96692294752821e-05
201126	5	4373	528	1	6229	33854060	5.83725571638384e-06	0	5.83725571638384e-06	3.96692294752821e-05
201127	1	2575	308	0	3631	18795444	0	0	6.25889543953132e-06	5.22156673590891e-05
201127	2	1223	149	2	1743	47815668	0	0	6.25889543953132e-06	5.22156673590891e-05
201127	3	716	95	0	1082	117262314	0	0	6.25889543953132e-06	5.22156673590891e-05
201127	4	3208	383	1	4160	53333067	0	0	6.25889543953132e-06	5.22156673590891e-05
201127	5	1010	125	0	1445	33889923	0	0	6.25889543953132e-06	5.22156673590891e-05
201128	1	1	0	0	18	18792569	0	5.04603441187173e-06	1.51381032356152e-05	5.71965551054392e-05
201128	2	5	0	0	37	47818697	0	5.04603441187173e-06	1.51381032356152e-05	5.71965551054392e-05
201128	3	6	0	0	63	117274106	0	5.04603441187173e-06	1.51381032356152e-05	5.71965551054392e-05
201128	4	19	2	0	127	53338075	0	5.04603441187173e-06	1.51381032356152e-05	5.71965551054392e-05
201128	5	15	3	0	99	33925783	0	5.04603441187173e-06	1.51381032356152e-05	5.71965551054392e-05
201129	1	16	2	0	88	18789694	0	9.87747935612993e-06	1.48162190341949e-05	7.51626010288688e-05
201129	2	4	2	0	17	47821727	0	9.87747935612993e-06	1.48162190341949e-05	7.51626010288688e-05
201129	3	6	1	0	27	117285896	0	9.87747935612993e-06	1.48162190341949e-05	7.51626010288688e-05
201129	4	13	2	0	59	53343086	0	9.87747935612993e-06	1.48162190341949e-05	7.51626010288688e-05
201129	5	4	1	0	18	33961639	0	9.87747935612993e-06	1.48162190341949e-05	7.51626010288688e-05
201130	1	2	0	0	5	18786819	0	0	5.66235529045234e-06	6.45381020440862e-06
201130	2	0	0	0	10	47824759	0	0	5.66235529045234e-06	6.45381020440862e-06
201130	3	1	0	0	21	117297682	0	0	5.66235529045234e-06	6.45381020440862e-06
201130	4	6	0	0	31	53348101	0	0	5.66235529045234e-06	6.45381020440862e-06
201130	5	5	2	1	24	33997489	0	0	5.66235529045234e-06	6.45381020440862e-06
201131	1	5	1	0	27	18783945	8.60932774325124e-06	5.73955182883416e-06	9.5659197147236e-06	3.60863613118864e-05
201131	2	1	0	0	6	47827794	8.60932774325124e-06	5.73955182883416e-06	9.5659197147236e-06	3.60863613118864e-05
201131	3	2	0	0	8	117309462	8.60932774325124e-06	5.73955182883416e-06	9.5659197147236e-06	3.60863613118864e-05
201131	4	2	0	0	17	53353121	8.60932774325124e-06	5.73955182883416e-06	9.5659197147236e-06	3.60863613118864e-05
201131	5	2	1	0	13	34033331	8.60932774325124e-06	5.73955182883416e-06	9.5659197147236e-06	3.60863613118864e-05
201132	1	50	9	0	138	18781071	8.90600786441267e-06	2.6718023593238e-05	1.01782947021859e-05	2.29508871194574e-05
201132	2	142	16	0	286	47830832	8.90600786441267e-06	2.6718023593238e-05	1.01782947021859e-05	2.29508871194574e-05
201132	3	138	14	0	424	117321235	8.90600786441267e-06	2.6718023593238e-05	1.01782947021859e-05	2.29508871194574e-05
201132	4	373	42	2	944	53358148	8.90600786441267e-06	2.6718023593238e-05	1.01782947021859e-05	2.29508871194574e-05
201132	5	266	34	0	661	34069163	8.90600786441267e-06	2.6718023593238e-05	1.01782947021859e-05	2.29508871194574e-05
201133	1	217	21	0	593	18778198	6.05281836918662e-06	1.51320459229665e-05	5.29621607303829e-06	6.22418555592107e-05
201133	2	75	7	0	192	47833874	6.05281836918662e-06	1.51320459229665e-05	5.29621607303829e-06	6.22418555592107e-05
201133	3	52	6	0	129	117333000	6.05281836918662e-06	1.51320459229665e-05	5.29621607303829e-06	6.22418555592107e-05
201133	4	227	21	1	557	53363182	6.05281836918662e-06	1.51320459229665e-05	5.29621607303829e-06	6.22418555592107e-05
201133	5	51	4	0	147	34104981	6.05281836918662e-06	1.51320459229665e-05	5.29621607303829e-06	6.22418555592107e-05
201134	1	203	20	0	362	18775326	0	2.66356095299718e-05	1.59813657179831e-05	6.64354412329114e-05
201134	2	413	24	0	641	47836920	0	2.66356095299718e-05	1.59813657179831e-05	6.64354412329114e-05
201134	3	486	35	0	831	117344756	0	2.66356095299718e-05	1.59813657179831e-05	6.64354412329114e-05
201134	4	1155	95	0	1986	53368226	0	2.66356095299718e-05	1.59813657179831e-05	6.64354412329114e-05
201134	5	716	65	0	1371	34140786	0	2.66356095299718e-05	1.59813657179831e-05	6.64354412329114e-05
201135	1	624	50	0	1052	18772455	1.76293135772844e-05	2.64439703659266e-05	4.89703154924566e-06	6.15897239228678e-05
201135	2	212	13	0	388	47839972	1.76293135772844e-05	2.64439703659266e-05	4.89703154924566e-06	6.15897239228678e-05
201135	3	118	3	0	235	117356500	1.76293135772844e-05	2.64439703659266e-05	4.89703154924566e-06	6.15897239228678e-05
201135	4	629	64	0	1020	53373281	1.76293135772844e-05	2.64439703659266e-05	4.89703154924566e-06	6.15897239228678e-05
201135	5	180	16	0	337	34176574	1.76293135772844e-05	2.64439703659266e-05	4.89703154924566e-06	6.15897239228678e-05
201136	1	1341	190	0	1822	18769586	9.03049556027376e-06	2.70914866808213e-05	0	6.5878624772764e-05
201136	2	2460	275	0	3146	47843029	9.03049556027376e-06	2.70914866808213e-05	0	6.5878624772764e-05
201136	3	2610	298	0	3763	117368233	9.03049556027376e-06	2.70914866808213e-05	0	6.5878624772764e-05
201136	4	4990	517	1	7223	53378347	9.03049556027376e-06	2.70914866808213e-05	0	6.5878624772764e-05
201136	5	4469	573	0	6360	34212343	9.03049556027376e-06	2.70914866808213e-05	0	6.5878624772764e-05
201137	1	2640	314	0	3731	18766717	0	4.77138548817704e-05	1.43141564645311e-05	0.000129756067101298
201137	2	1273	159	0	1834	47846094	0	4.77138548817704e-05	1.43141564645311e-05	0.000129756067101298
201137	3	691	89	0	1044	117379951	0	4.77138548817704e-05	1.43141564645311e-05	0.000129756067101298
201137	4	3253	408	0	4230	53383427	0	4.77138548817704e-05	1.43141564645311e-05	0.000129756067101298
201137	5	968	113	0	1384	34248091	0	4.77138548817704e-05	1.43141564645311e-05	0.000129756067101298
201138	1	2	0	0	16	18763850	0	2.63842933966055e-05	2.19869111638379e-05	0.000100928717006482
201138	2	1	0	0	40	47849165	0	2.63842933966055e-05	2.19869111638379e-05	0.000100928717006482
201138	3	11	1	0	55	117391655	0	2.63842933966055e-05	2.19869111638379e-05	0.000100928717006482
201138	4	20	1	0	124	53388521	0	2.63842933966055e-05	2.19869111638379e-05	0.000100928717006482
201138	5	15	5	0	96	34283816	0	2.63842933966055e-05	2.19869111638379e-05	0.000100928717006482
201139	1	13	1	1	75	18760984	2.33454122461493e-06	4.20217420430687e-05	1.77425133070734e-05	0.000113273644263006
201139	2	4	2	0	22	47852244	2.33454122461493e-06	4.20217420430687e-05	1.77425133070734e-05	0.000113273644263006
