HHS,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
9,1998,9,163,25,10801
10,1998,9,48,10,1736
1,1998,10,40,33,6134
2,1998,10,12,6,709
3,1998,10,56,14,2467
4,1998,10,56,26,7569
5,1998,10,313,62,15477
6,1998,10,16,5,660
7,1998,10,20,19,2629
8,1998,10,32,9,2993
9,1998,10,159,24,10146
10,1998,10,44,10,1798
1,1998,11,20,33,6015
2,1998,11,15,6,707
3,1998,11,49,14,2646
4,1998,11,58,27,9470
5,1998,11,234,58,16281
6,1998,11,8,4,635
7,1998,11,27,17,2260
8,1998,11,27,8,3111
9,1998,11,115,25,11114
10,1998,11,32,8,1650
1,1998,12,19,32,6006
2,1998,12,21,5,600
3,1998,12,45,13,2361
4,1998,12,40,22,7022
5,1998,12,158,49,15891
6,1998,12,3,4,622
7,1998,12,4,17,2396
8,1998,12,0,4,1597
9,1998,12,174,23,10585
10,1998,12,22,8,1619
1,1998,13,14,29,5447
2,1998,13,9,5,316
3,1998,13,44,14,2580
4,1998,13,36,25,8898
5,1998,13,141,48,16801
6,1998,13,1,4,617
7,1998,13,13,19,2996
8,1998,13,23,7,2510
9,1998,13,56,23,6506
10,1998,13,21,8,1434
1,1998,14,13,29,5343
2,1998,14,18,6,571
3,1998,14,39,11,2109
4,1998,14,29,24,8049
5,1998,14,160,44,14941
6,1998,14,0,4,536
7,1998,14,14,18,2552
8,1998,14,25,7,2500
9,1998,14,50,20,5171
10,1998,14,20,7,1187
1,1998,15,5,23,4299
2,1998,15,1,3,187
3,1998,15,29,11,2281
4,1998,15,20,22,7765
5,1998,15,95,43,15324
6,1998,15,2,4,537
7,1998,15,20,16,2073
8,1998,15,13,7,2716
9,1998,15,50,20,5545
10,1998,15,27,7,1413
1,1998,16,6,25,4024
2,1998,16,2,4,280
3,1998,16,42,11,2051
4,1998,16,29,24,8122
5,1998,16,96,38,13328
6,1998,16,2,4,611
7,1998,16,10,17,2217
8,1998,16,18,5,1218
9,1998,16,48,20,6405
10,1998,16,12,7,1240
1,1998,17,3,23,4346
2,1998,17,9,5,353
3,1998,17,18,12,2181
4,1998,17,40,23,7846
5,1998,17,110,38,13501
6,1998,17,0,4,615
7,1998,17,13,14,2057
8,1998,17,7,5,1660
9,1998,17,48,19,4537
10,1998,17,18,5,1228
1,1998,18,5,20,3878
2,1998,18,1,3,127
3,1998,18,17,12,2347
4,1998,18,36,24,7924
5,1998,18,97,34,13244
6,1998,18,0,3,566
7,1998,18,11,13,1863
8,1998,18,2,4,852
9,1998,18,30,18,3832
10,1998,18,10,5,1188
1,1998,19,4,20,3852
2,1998,19,1,3,208
3,1998,19,19,11,2347
4,1998,19,15,21,5197
5,1998,19,73,33,12240
6,1998,19,0,4,578
7,1998,19,11,14,1857
8,1998,19,0,3,529
9,1998,19,49,17,4143
10,1998,19,14,5,1249
1,1998,20,2,20,3560
2,1998,20,1,3,216
3,1998,20,21,9,2085
4,1998,20,14,20,4205
5,1998,20,63,30,10336
6,1998,20,0,4,605
7,1998,20,3,13,1599
8,1998,20,0,3,488
9,1998,20,48,14,2988
10,1998,20,13,4,1181
1,1998,21,0,0,0
2,1998,21,0,0,0
3,1998,21,0,0,0
4,1998,21,0,0,0
5,1998,21,0,0,0
6,1998,21,0,0,0
7,1998,21,0,0,0
8,1998,21,0,0,0
9,1998,21,0,0,0
10,1998,21,0,0,0
1,1998,22,0,0,0
2,1998,22,0,0,0
3,1998,22,0,0,0
4,1998,22,0,0,0
5,1998,22,0,0,0
6,1998,22,0,0,0
7,1998,22,0,0,0
8,1998,22,0,0,0
9,1998,22,0,0,0
10,1998,22,0,0,0
1,1998,23,0,0,0
2,1998,23,0,0,0
3,1998,23,0,0,0
4,1998,23,0,0,0
5,1998,23,0,0,0
6,1998,23,0,0,0
7,1998,23,0,0,0
8,1998,23,0,0,0
9,1998,23,0,0,0
10,1998,23,0,0,0
1,1998,24,0,0,0
2,1998,24,0,0,0
3,1998,24,0,0,0
4,1998,24,0,0,0
5,1998,24,0,0,0
6,1998,24,0,0,0
7,1998,24,0,0,0
8,1998,24,0,0,0
9,1998,24,0,0,0
10,1998,24,0,0,0
1,1998,25,0,0,0
2,1998,25,0,0,0
3,1998,25,0,0,0
4,1998,25,0,0,0
5,1998,25,0,0,0
6,1998,25,0,0,0
7,1998,25,0,0,0
8,1998,25,0,0,0
9,1998,25,0,0,0
10,1998,25,0,0,0
1,1998,26,0,0,0
2,1998,26,0,0,0
3,1998,26,0,0,0
4,1998,26,0,0,0
5,1998,26,0,0,0
